"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 30 10:54:57 CEST 2020","Thu Apr 30 10:54:57 CEST 2020","1","Pet(s) Test Suite","GET_Pets_By_Status,GET_Pets_By_Id","com.tests.pets.tests.GetPetTest","com.tests.pets.tests.GetPetTest","getPetByStatus","getPetByStatus","This request includes get pets by status"
"passed","Thu Apr 30 10:54:56 CEST 2020","Thu Apr 30 10:54:57 CEST 2020","439","Pet(s) Test Suite","GET_Pets_By_Status,GET_Pets_By_Id","com.tests.pets.tests.GetPetTest","com.tests.pets.tests.GetPetTest","getPetByIdError","getPetByIdError","This request includes get the error response for pet not found"
"passed","Thu Apr 30 10:54:59 CEST 2020","Thu Apr 30 10:55:00 CEST 2020","523","Pet(s) Test Suite","PUT to update the Pet","com.tests.pets.tests.PutRequestPets","com.tests.pets.tests.PutRequestPets","updatePet","updatePet","This request includes updates an existing pet"
"passed","Thu Apr 30 10:55:02 CEST 2020","Thu Apr 30 10:55:03 CEST 2020","967","Pet(s) Test Suite","POST an image to the Pet","com.tests.pets.tests.UploadFile","com.tests.pets.tests.UploadFile","uploadFile","uploadFile","This request includes images upload for an existing pet"
"passed","Thu Apr 30 10:54:58 CEST 2020","Thu Apr 30 10:54:58 CEST 2020","437","Pet(s) Test Suite","Add a new pet to the store,Updates a pet in the store with form data","com.tests.pets.tests.PostPetTest","com.tests.pets.tests.PostPetTest","postPetFormData","postPetFormData","This request includes updates a pet"
"passed","Thu Apr 30 10:54:54 CEST 2020","Thu Apr 30 10:54:56 CEST 2020","1654","Pet(s) Test Suite","GET_Pets_By_Status,GET_Pets_By_Id","com.tests.pets.tests.GetPetTest","com.tests.pets.tests.GetPetTest","getPetById","getPetById","This request includes get pets by Id"
"passed","Thu Apr 30 10:54:57 CEST 2020","Thu Apr 30 10:54:58 CEST 2020","717","Pet(s) Test Suite","Add a new pet to the store,Updates a pet in the store with form data","com.tests.pets.tests.PostPetTest","com.tests.pets.tests.PostPetTest","postPet","postPet","This request includes Post new pets"
"passed","Thu Apr 30 10:55:01 CEST 2020","Thu Apr 30 10:55:01 CEST 2020","403","Pet(s) Test Suite","DELETE a Pet","com.tests.pets.tests.DeletePet","com.tests.pets.tests.DeletePet","deletePet","deletePet","This request includes delete pets by Id"
